urlDrugName,condition,rating,sentiment,logreg_pred,full_review
biaxin,sinus infection,9,positive,negative,"The antibiotic may have destroyed bacteria causing my sinus infection. But it may also have been caused by a virus, so its hard to say. Some back pain, some nauseau. Took the antibiotics for 14 days. Sinus infection was gone after the 6th day."
biaxin,sinus infection,2,negative,positive,"By the end of the 10-day treatment I felt better, but still had major congestion, green/yellow mucus and was coughing up mucus. The symptoms were milder than before I started the treatment but definitely not gone. I felt no significant side effects - perhaps some slight drowsiness. Basically the treatment did not seem to work. My presumption is that symptoms should have completely cleared up by the end of the 10-day treatment, but they were still significantly present."
carbamazepine,seizure,8,positive,negative,reduction in seizures reduction in seizures reduction in seizures didn't have lots of seizures how many times can I say the same thing I'm sorry but there's not a whole lot to say here I keep repeating the same stuff over and over again to get to fifty words. tired/sleepy very tired sleep and tired very tired sometimes and other times less tired i'm sorry not more to say other than 50 words so blah blah see above see above see above see above see above took it for seizure took pills drank with water drank water and took pills took pills drank water drank water took pills took pills drank water drank water took pills toook pills drank water drank water toook pills took pills drank water drank water took pills.
provigil,chronic fatigue,6,neutral,positive,"Treatment benefits were noticeable but not substantial. I did not respond to 100mg a day as I or the doctor had hoped. But it did allow me to stay focused throughout the day with out drowsiness or fatigue, so I give it a positive review. Treatment effectiveness varies among individuals nervousness, insomnia (if taken late in the day) Took 100mg each day in the morning, sometimes if drowsy another 100mg mid-day for cronic fatigue."
xanax,anxiety,5,neutral,positive,The xanax would act as a downer. It would calm me temporaily but could throw me into depression depending on the situation. If the situation was mildly tramatic the xanax would calm me but then follow by depression. The following day I would have residual sedation. The main complain was the addiction. It was not exactly like a craving but if you did not take it your body would feel like something was missing. It did not hurt but until I took it again I felt not quite content and as soon as I would take the pill my body would feel like it would give a sigh of relief. I think it is as much addiction to the mind as to the body. As I explained above. Addiction and drowsiness. Your mind and body felt like you were missing something. Until you took the pill you would be anxious but for no reason but as soon as you took the pill your mind would be relived. You would no longer dwell on the anxiety. Once a day preferably at bedtime but if a situation arose I would have to take another sooner and still one at bedtime in order to sleep.
chantix,stop smoking,5,neutral,positive,"The benefits were to eventually stop smoking. At first I experienced a slight headache and upset stomache. I was to take 1 small dosage pill twice a day for 1 week. Then increase the pill to the regular dose gradually after that week. The medication is suppose to stop you from wanting to smoke basically by making you sick to your stomache when you smoke. During the first week you can smoke, but the second week you have to stop."
prednisone,rheumatoid arthritis,7,positive,negative,"Stopped inflammation. Reduced need for pain killers such as tylenol and advil. Weight gain, osteoporosis, moon face; noticed muscle weakness. Could not simply stop; had to taper off or risk side adenson disease. Seemed more sensitive to fatigue. Taken daily orally once a day. Eventually tapered off to 5 mg. per day, then 5 every other day, then 5 once a week."
propranolol,rapid heart rate,5,neutral,positive,"I have suffered of rapid heart rate for sometime because of my thyroid problem. I was given this medicine to get my heart rate controlled. First few weeks the medicine did not seem to work for me but my doctor increased the dosage to 20mg twice a day, then that was the time I started to feel my heart rate slow down. The medicine is definitely effective but I guess the effect of it depends on the individual as it requres a certain dosage for it to work effectively. I started feeling dizzy whenever I get up from sitting position to standing. I have informed my doctor about this and I was informed that this is a possible side effect of the drug. Details as above."
effexor-xr,severe depression,9,positive,negative,i was severly depressed for weeks and would just cry all the time. i had tried several other anidepressants and none of them worked. one day my doctor said lets try a new drug called effexor xr. i was started on 75 mg for about 2 months and was still depressed so then i was increased to 150 mg and have been on it since. i an so much happier and my family is also. this medicine has been my life saver and recommend anyone depressed to take this one i very vivid dreams but i can live with this side effect to be happy i found that the treatment plan has made life worth living
lexapro,depression/anxiety,3,negative,positive,"Increased libido. Vivid dreams, nightmares, diarrhea, increased anxiety, night sweats, exhaustion. Began at 5 mg, increased to 10mg after a few weeks. Have not been able to increase further because the side effects are so detrimental. I am weaning myself off Lexapro now and beginning Celexa again. I had a better experience on 20 mg of Celexa and it is far less expensive (because there is a generic)."
